text,label
Government announces new education policy to improve literacy rates,REAL
Scientists discover new vaccine effective against virus,REAL
Local elections results show major shift in voter preferences,REAL
Breaking: Celebrity adopts stray dogs and supports animal welfare,REAL
Study shows benefits of regular exercise and healthy diet,REAL
"Shocking: Aliens found living under ocean, says anonymous source",FAKE
"Miracle cure for cancer found in kitchen ingredient, experts shocked",FAKE
Government secretly plans to ban all smartphones next year,FAKE
Man claims he can live without food for 10 years,FAKE
Secret society controls global weather using hidden machines,FAKE
